Pathways	Species	Common-Name	Object ID	Taxonomic-Range	Synonyms
PWY-6990	TAX-38868	(+)-camphor biosynthesis	PWY-6990	TAX-33090	(<i>R</i>)-camphor biosynthesis
PWY-2467	TAX-3888	(+)-pisatin biosynthesis	PWY-2467	TAX-3803	
PWY-7487	TAX-4006	(+)-secoisolariciresinol diglucoside biosynthesis	PWY-7487	TAX-3398	
PWY-7749	TAX-93608	(-)-4'-demethyl-epipodophyllotoxin biosynthesis	PWY-7749	TAX-3398	etoposide aglycone biosynthesis // (-)-4'-desmethyl-epipodophyllotoxin biosynthesis
PWY-6991	TAX-301877 // TAX-128002	(-)-camphor biosynthesis	PWY-6991	TAX-33090	(<i>S</i>)-camphor biosynthesis
PWY-7557	TAX-627192 // TAX-13689	(-)-dehydrodiconiferyl alcohol degradation	PWY-7557	TAX-2	
PWY-2761	TAX-3827 // TAX-3847 // TAX-46348 // TAX-49827 // TAX-3879 // TAX-3885	(-)-glycinol biosynthesis	PWY-2761	TAX-3803	
PWY-2464	TAX-119829 // TAX-3827 // TAX-3879 // TAX-3880 // TAX-3885 // TAX-3888	(-)-maackiain biosynthesis	PWY-2464	TAX-3803	
PWY-2463	TAX-3827 // TAX-46348 // TAX-49827 // TAX-3879 // TAX-3880	(-)-medicarpin biosynthesis	PWY-2463	TAX-3803	
PWY-7556	TAX-162425	(-)-microperfuranone biosynthesis	PWY-7556	TAX-1131492 // TAX-4751	
PWY-5954	TAX-5059 // TAX-162425 // TAX-5067 // TAX-46472	(1'<i>S</i>,5'<i>S</i>)-averufin biosynthesis	PWY-5954	TAX-4751	
PWY-6789	TAX-118970 // TAX-33178 // TAX-247155 // TAX-98227	(1,3)-&beta;-D-xylan degradation	PWY-6789	TAX-4751 // TAX-2	
PWY-6717	TAX-5052 // TAX-5061 // TAX-5062 // TAX-6717 // TAX-644223 // TAX-5600 // TAX-203119 // TAX-51453	(1,4)-&beta;-D-xylan degradation	PWY-6717	TAX-2759 // TAX-2	
PWY-8124	TAX-506591	(2-trimethylamino)ethylphosphonate degradation	PWY-8124	TAX-2	
PWY-8426	TAX-42198 // TAX-1912 // TAX-132248	(2<i>R</i>)-methoxylmalonyl-]acp] biosynthesis	PWY-8426	TAX-2	methoxylmalonyl-[acp] biosynthesis
