Ontology - all subclasses of class from New SmartTable with Bacteria 	Matches	Object ID	Common-Name
TAX-131567		TAX-131567	cellular organisms
TAX-2	TAX-2	TAX-2	Bacteria
ORG-6017	TAX-2	ORG-6017	a non specified bacterium (Kondo 77)
TAX-46123	TAX-2	TAX-46123	Abiotrophia
TAX-46125	TAX-2	TAX-46125	Abiotrophia defectiva
TAX-31980	TAX-2	TAX-31980	Acetitomaculum
TAX-2382	TAX-2	TAX-2382	Acetitomaculum ruminis
TAX-35829	TAX-2	TAX-35829	Acetivibrio
TAX-35830	TAX-2	TAX-35830	Acetivibrio cellulolyticus
TAX-203119	TAX-2	TAX-203119	Acetivibrio thermocellus
TAX-1515	TAX-2	TAX-1515	Acetivibrio thermocellus
TAX-186831	TAX-2	TAX-186831	Acetoanaerobium
TAX-1511	TAX-2	TAX-1511	Acetoanaerobium sticklandii
TAX-434	TAX-2	TAX-434	Acetobacter
TAX-435	TAX-2	TAX-435	Acetobacter aceti
TAX-438	TAX-2	TAX-438	Acetobacter pasteurianus
TAX-151157	TAX-2	TAX-151157	Acetobacter subgen. Acetobacter
TAX-433	TAX-2	TAX-433	Acetobacteraceae
TAX-33951	TAX-2	TAX-33951	Acetobacterium
TAX-52690	TAX-2	TAX-52690	Acetobacterium carbinolicum
TAX-82116	TAX-2	TAX-82116	Acetobacterium dehalogenans
TAX-33952	TAX-2	TAX-33952	Acetobacterium woodii
TAX-28186	TAX-2	TAX-28186	Acetohalobium
TAX-574087	TAX-2	TAX-574087	Acetohalobium arabaticum
TAX-28187	TAX-2	TAX-28187	Acetohalobium arabaticum
TAX-2147	TAX-2	TAX-2147	Acholeplasma
TAX-2148	TAX-2	TAX-2148	Acholeplasma laidlawii
TAX-2146	TAX-2	TAX-2146	Acholeplasmataceae
TAX-186329	TAX-2	TAX-186329	Acholeplasmatales
TAX-222	TAX-2	TAX-222	Achromobacter
TAX-477184	TAX-2	TAX-477184	Achromobacter arsenitoxydans
