Pathways	Super-Pathways
PWY-6990	
P601-PWY	
PWY-2467	
PWY-7487	
PWY-7749	
PWY-6991	
PWY-6989	
PWY-7557	
PWY-2761	PWY-2055
PWY-2464	PWY-5717 // PWY-2229
PWY-2463	PWY-5717 // PWY-2229
PWY-7556	
PWY-5954	PWY-5961
PWY-6789	
PWY-6717	
PWY-8124	
PWY-7907	
PWY-5434	
PWY-6007	
PWY-7709	PWY2OL-4
PWY-7141	PWY2OL-4
PWY-5922	
PWY-5928	
PWY-5927	
PWY-7443	
PWY-7728	
PWY-7726	
PWY-5737	
PWY0-862	PWY0-881 // PWY-6285 // PWY-6284
PWY-7858	
PWY-5361	
PWY-7590	
PWY-7654	
PWY-7035	
PWY-7805	
PWY-6668	
KDO-LIPASYN-PWY	LPSSYN-PWY
PWY-8285	
PWY-8247	
PWY-8075	
PWY2B4Q-7	
PWY-7216	PWY-7218
PWY-7522	
PWY-6642	
PWY-5951	P125-PWY
PWY3O-246	
PWY-8086	
PWY-7013	
PWY-3581	
PWY-6133	
PWY-6390	PWY-6396
PWY-6388	
PWY-6900	
PWY-6539	
PWY-6099	
PWY-6091	
PWY-6090	
12DICHLORETHDEG-PWY	
PWY-7541	
PWY-5765	
PWY-6773	
PWY-6081	
PWY-5428	
PWY-7385	
14DICHLORBENZDEG-PWY	
PWY-7374	PWY-6263
PWY-7371	PWY-7992 // PWY-7373
PWY-5429	
PWY-6992	
6-HYDROXYCINEOLE-DEGRADATION-PWY	
PWY-6886	
PWY-7681	
PWY-5935	
PWY-7691	
PWY-7337	
PWY-8172	
PWY-7339	
PWY-7338	
PWY-7043	
PWY-8202	
PWY-7958	
PWY-7959	
PWY66-393	
PWY-6361	PWY-6555
PWY-6362	PWY-6371
PWY-4661	
PWY-6372	
PWY-6554	PWY-6555
PWY-5912	
PWY-7945	
PWY-7009	
PWY-7637	
PWY-6035	
PWY-5901	ENTBACSYN-PWY // PWY-5903 // PWY-6374
PWY-7480	
PWY-6029	
PWY-6200	
PWY-6178	
PWY-7627	
PWY-6051	
PWY-6085	
PWY-6190	
PWY-7628	
PWY-5642	
PWY-7703	
PWY-6191	
PWY-7698	
PWY-5643	
PWY-7467	
PWY-5654	PWY-5647 // PWY-6505 // PWY-5655
PWY-5652	PWY-6309 // TRYPTOPHAN-DEGRADATION-1
PWY-7536	
PWY-6839	
PHOSPHONOTASE-PWY	
PWY-6832	
PWY-7447	
PWY-6210	
PWY-8052	
PWY-5837	ALL-CHORISMATE-PWY // PWY-5863 // PWY-5861 // PWY-5899 // PWY-5898 // PWY-5897 // PWY-5896 // PWY-5838 // PWY-5862 // PWY-5860 // PWY-5845 // PWY-5840 // PWY-5850
PWY-7425	
PWY-7428	
PWY-6221	
PWY-7180	PWY0-1298 // PWY0-1297
PWY-8121	
PWY-8060	
PWY-8058	
PWY-6660	PWY-6662
PWY-7008	
PWY-8019	
PWY-5162	PWY-2504 // PWY0-1277 // PWY-5273 // PWY-6956 // PWY-5178 // PWY-6954 // PWY-6505 // PWY-5415 // PWY-5420 // PWY-5655 // PWY-5266 // PWY-5180 // PWY-5179
PWY-5776	
PWY-7011	
PWY-5782	
PWY-8181	
PWY-7965	
PWY0-42	
PWY-5747	
PWY-7087	
PWY-6585	
PWY-7778	
PWY-5647	
PWY-5648	
PWY-5636	
PWY-5641	
PWY-7460	
PWY0-1300	
PWY-5130	PWY-5328
2OXOBUTYRATECAT-PWY	
PWY-5084	
PWY-5046	
PWY-7010	
PWY-8238	PWY-8240
PWY-7065	
PWY-7462	
PWY-7465	
PWY-6094	
PWY-6217	
PWY-6192	
PWY-7095	
PWY-7512	
PWY-6084	
PWY-7076	
PWY-7562	
CHLOROPHYLL-SYN	
PWY-5531	PWY-5529
PWY-7159	
PWY-5886	PWY-5864
PWY-7521	
PWY-5029	
PWY-7304	PWY-7287
PWY-5979	PWY-5993
PWY-6451	
PWY-6088	
PWY-6216	
PWY-6228	
PWY-6089	
PWY-6193	
PWY-6214	
PWY-6103	
PWY-6104	
PWY-6164	ARO-PWY
PWY-6160	PWY-6165
PWY-7717	
PWY-7765	
PWY-7648	
PWY-7649	
PWY-5743	PWY-7024
PWY-5789	
PWY-7733	
PWY66-387	
PWY-6511	
PWY-6871	
PWY-721	
PWY-5389	
PWY-2361	PWY-2504 // PWY-5181 // PWY-5431 // PWY-6182 // PWY-5417
PWY0-1277	
HCAMHPDEG-PWY	PWY0-1277
P281-PWY	
PWY-6352	PWY-6371
PWY-6368	
PWY-6634	
PWY-8214	
PWY-8215	
PWY-7956	
PWY-7497	
PWY-8113	
PWY-7705	
PWY-6767	
PWY-7898	
PWY-6093	
PWY-6890	PWY-6895 // THISYNARA-PWY // THISYN-PWY
PWY-7282	
PWY-7006	
PWY-6543	PWY-7575 // PWY-6612
PWY-8276	
PWY-8281	
PWY-6535	4AMINOBUTMETAB-PWY // GLUDEG-I-PWY
PWY-6537	4AMINOBUTMETAB-PWY
PWY-6536	
PWY-6473	
PWY-5022	
PWY-7081	
PWY-6086	
PWY-6215	
PWY-6087	
PWY-5645	
PWY-8002	
PWY-7046	
PWY-6507	PWY-6516
PWY-6080	
PWY-6661	PWY-6662
PWY-7112	
PWY-7303	PWY-7287
PWY-7701	
PWY-7002	
PWY-5754	
PWY-5755	UBISYN-PWY
PWY-6435	
PWY-6431	
PWY-6418	
PWY-8024	
4-HYDROXYMANDELATE-DEGRADATION-PWY	PWY-2504 // PWY-6954
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	
PWY-6185	
PWY-7700	PWY-5183 // PWY-5181
PWY-7963	
PWY-2381	
PWY-5487	
PWY-5488	
P421-PWY	
PWY-5644	
PWY-7948	
PWY-6041	
4TOLCARBDEG-PWY	
TOLSULFDEG-PWY	
PWY-5165	
PWY-8130	
PWY-8131	
PWY-6340	
PWY-5523	P381-PWY
PWY-7729	PWY-5507
PWY0-1554	
PWY-6121	PWY-841 // PWY-6277
PWY-6122	DENOVOPURINE2-PWY // PWY-6277
PWY-6102	
PWY-7101	
PWY-7641	
PWY-8097	
PWY-7969	
PWY-6995	
PWY-8095	
PWY-7966	
PWY-8096	
PWY-7967	
PWY-7968	
PWY-7543	
PWY-7044	
PWY-7942	
PWY-7911	
PWY-5161	
PWY-5061	
PWY-8297	
PWY-6920	
PWY-6835	
PWY-6147	PWY-6612
PWY-6797	
PWY-7539	
PWY-7852	
PWY-7853	
PWY-4922	
PWY-5479	
PWY-7811	PWY-7809
PWY-7286	PWY-7283
PWY-7155	
PWY-6519	BIOTIN-BIOSYNTHESIS-PWY
PWY-7147	
PWY-6578	PWY-5005
PWY-8203	
PWY-7864	
PWY-8076	PWY-4161
PWY-7689	
PWY-6502	
PWY-8061	
PWY-7340	
PWY-8141	
PWY-5407	PWY-5433
PWY-5408	PWY-5433
PWY-5380	
PWY-7878	
PWY-7832	
PWY-7831	
