Dataset,Module,Module size,Module AUC,Average shuffled module AUC (Null model),SD shuffled module AUC (Null model),Average inter-view correlations,Average shuffled inter-view correlations (Null model),SD shuffled inter-view correlations (Null model),All modules AUC (Random Forest) - cross-validation average,All modules AUC (Random Forest) - cross-validation SD,Pipeline settings
"CD (Franzosa, 2019)",1,16,0.956,0.822,0.063,0.5704556423743801,0.1494568792612484,0.02718024238535217,0.943,0.09437781635484248,keep_10//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.8
"CD (Franzosa, 2019)",2,9,0.662,0.757,0.073,0.16114476440671907,0.14798176628175844,0.046280975745017223,0.943,0.09437781635484248,keep_10//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.8
"Cirrhosis (Qin, 2014)",1,16,0.593,0.753,0.044,0.16188384464696048,0.14381440404358856,0.032196110868919776,0.884,0.0662154964077047,keep_15//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.8
"Cirrhosis (Qin, 2014)",2,15,0.703,0.754,0.038,0.7311043496066297,0.142156337008597,0.045958485945766,0.884,0.0662154964077047,keep_15//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.8
"Cirrhosis (Qin, 2014)",3,24,0.848,0.765,0.035,0.6084807565311473,0.1424681065502051,0.021709078116492957,0.884,0.0662154964077047,keep_15//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.8
"CRC (Feng, 2015)",1,20,0.792,0.686,0.04,0.4197549969619352,0.12825984977836466,0.019332841785032903,0.839,0.15181302852195347,keep_15//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.8
"CRC (Feng, 2015)",2,9,0.721,0.676,0.04,0.13733726524095524,0.13272753600891737,0.03696020827169752,0.839,0.15181302852195347,keep_15//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.8
"CRC (Feng, 2015)",3,7,0.655,0.678,0.038,0.26721227889779775,0.1282124007219255,0.04398313234493828,0.839,0.15181302852195347,keep_15//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.8
"CRC (Vogtmann, 2016)",1,13,0.718,0.668,0.024,0.1594777714206952,0.11388553980782225,0.021203457642275988,0.753,0.1953441509834383,keep_15//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.8
"CRC (Vogtmann, 2016)",2,12,0.732,0.671,0.023,0.19453704982408287,0.11261760869685547,0.02126088203425212,0.753,0.1953441509834383,keep_15//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.8
"CRC (Vogtmann, 2016)",3,6,0.663,0.66,0.022,0.3492791583344283,0.1138045939748185,0.037519729230697,0.753,0.1953441509834383,keep_15//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.8
"CRC (Wirbel, 2018)",1,3,0.646,0.648,0.031,0.5717856777124819,0.09957718076874875,0.05928854730006074,0.814,0.14214545393321432,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.8
"CRC (Wirbel, 2018)",2,13,0.791,0.653,0.032,0.38358743139477985,0.10521693884014534,0.017205857186018633,0.814,0.14214545393321432,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.8
"CRC (Yachida, 2019)",1,7,0.722,0.629,0.021,0.28210275921450523,0.09750330882096465,0.03290485400243137,0.753,0.13259675084203862,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7
"CRC (Yachida, 2019)",2,12,0.688,0.625,0.016,0.3394116800737526,0.12011475959498624,0.02418538999431175,0.753,0.13259675084203862,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7
"CRC (Yu, 2015)",1,15,0.775,0.625,0.015,0.2355788441823955,0.1113481587738781,0.019754265303027745,0.767,0.14315436126184536,keep_15//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.8
"CRC (Yu, 2015)",2,8,0.64,0.627,0.015,0.29957573617303274,0.10966310535671109,0.02841786742497351,0.767,0.14315436126184536,keep_15//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.8
"CRC (Zeller, 2014)",1,17,0.801,0.669,0.04,0.3726862159735281,0.11438997015530475,0.01800325554646645,0.825,0.11030082201605361,keep_15//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.8
"CRC (Zeller, 2014)",2,16,0.654,0.661,0.039,0.2655637746073203,0.11129546907098758,0.01922127591376771,0.825,0.11030082201605361,keep_15//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.8
"CRC (Zeller, 2014)",3,14,0.661,0.675,0.042,0.16111791178888552,0.11738995741476314,0.02027958241241751,0.825,0.11030082201605361,keep_15//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.8
"CRC (Zeller, 2014)",4,5,0.784,0.664,0.028,0.3436245029410896,0.12033891993591786,0.042941308911486634,0.825,0.11030082201605361,keep_15//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.8
"ESRD (Wang, 2020)",1,38,0.974,0.655,0.051,0.1476199708700447,0.08750881221604798,0.006617018689707746,0.972,0.0411438656136998,keep_15//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7
"ESRD (Wang, 2020)",2,18,0.608,0.642,0.065,0.3145732612525368,0.08576335290197319,0.013859585204851973,0.972,0.0411438656136998,keep_15//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7
"ESRD (Wang, 2020)",3,6,0.724,0.649,0.066,0.1364835322777763,0.08242653712164681,0.023707432988616696,0.972,0.0411438656136998,keep_15//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7
"ESRD (Wang, 2020)",4,3,0.608,0.637,0.055,0.35974458521970865,0.09010349744897078,0.04331670270901347,0.972,0.0411438656136998,keep_15//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7
"HT (Li, 2017)",1,12,0.687,0.632,0.017,0.3895201876541744,0.1323676120137381,0.03026614238068147,0.541,0.15699181984219399,keep_10//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.8
"IGT (Karlsson, 2013)",1,6,0.696,0.682,0.024,0.40720604780913333,0.11878469317514809,0.03962554317293608,0.677,0.23659115597478264,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7
"IGT (Karlsson, 2013)",2,9,0.651,0.685,0.022,0.4019904125652874,0.12168159381140711,0.028166124571138984,0.677,0.23659115597478264,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7
"IGT (Karlsson, 2013)",3,3,0.711,0.685,0.027,0.5018299588716078,0.11783357741282313,0.07428640149015732,0.677,0.23659115597478264,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7
"IGT (Karlsson, 2013)",4,5,0.745,0.683,0.027,0.31361957421327136,0.11855550694676628,0.040549987419093096,0.677,0.23659115597478264,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.7
"ME-CFS (Nagy-Szakal, 2017)",1,7,0.745,0.665,0.022,0.3929575375475798,0.11656141029819372,0.03285104715053759,0.698,0.15038747084943743,keep_10//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.8
MS (MetaCardis),1,21,0.721,0.65,0.05,0.18590228036309245,0.08057871125093168,0.010485766739213729,0.681,0.1250134345243655,keep_15//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.8
MS (MetaCardis),2,12,0.635,0.648,0.047,0.16131161085033324,0.0793160566918684,0.014078485676427922,0.681,0.1250134345243655,keep_15//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.8
MS (MetaCardis),3,6,0.657,0.605,0.015,0.17915222702230507,0.1338551631208956,0.04811539993598317,0.681,0.1250134345243655,keep_15//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.8
"Pre-HT (Li, 2017)",1,24,0.64,0.644,0.012,0.2680355074998395,0.13300146398500626,0.023755580709890027,0.726,0.16892692572698578,keep_10//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.7
"Pre-HT (Li, 2017)",2,6,0.719,0.66,0.023,0.22571649757342682,0.13442250151895146,0.043971525705578905,0.726,0.16892692572698578,keep_10//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.7
"Schizofrenia (Zhu, 2020)",1,15,0.67,0.604,0.015,0.3435635574508083,0.1275692865821461,0.02504039302148496,0.782,0.10535214557401885,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.8
"Schizofrenia (Zhu, 2020)",2,4,0.616,0.608,0.016,0.5581911383598852,0.12353238767500041,0.06876841474662085,0.782,0.10535214557401885,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.8
"Schizofrenia (Zhu, 2020)",3,7,0.608,0.609,0.017,0.5880821917407602,0.12343309674767139,0.03740450336935204,0.782,0.10535214557401885,keep_10//des_0.3//nrep_10//nfol_5//ncom_5//edge_0.8
"STH (Rubel, 2020)",1,8,0.615,0.612,0.026,0.42123083615747514,0.11102061885500326,0.03290867359975775,0.809,0.10980171321825614,keep_10//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.8
"STH (Rubel, 2020)",2,14,0.69,0.607,0.022,0.42991508261423816,0.11604805747376126,0.024869469040370854,0.809,0.10980171321825614,keep_10//des_0.5//nrep_10//nfol_5//ncom_5//edge_0.8
