Dataset,Module,Feature,Feature description,Increased in?
"CD (Franzosa, 2019)",1,M__C18.neg_Cluster_2021..urobilin,[M] Urobilin (II),healthy
"CD (Franzosa, 2019)",1,M__HILIC.neg_Cluster_0441..sebacate,[M] Sebacate,healthy
"CD (Franzosa, 2019)",1,M__HILIC.pos_Cluster_2093..urobilin.,[M] Urobilin (I),healthy
"CD (Franzosa, 2019)",2,M__HILIC.pos_Cluster_2372..C36.2.PC.,[M] HILIC.pos_Cluster_2372..C36.2.PC.,healthy
"CD (Franzosa, 2019)",1,P__HISTSYN.PWY,[P] L-histidine biosynthesis,healthy
"CD (Franzosa, 2019)",1,P__NONMEVIPP.PWY,[P] methylerythritol phosphate pathway I,healthy
"CD (Franzosa, 2019)",2,P__PWY.5265,[P] peptidoglycan biosynthesis II (staphylococci),non-significant
"CD (Franzosa, 2019)",1,P__PWY.6163,[P] chorismate biosynthesis from 3-dehydroquinate,healthy
"CD (Franzosa, 2019)",1,P__PWY.6292,[P] superpathway of L-cysteine biosynthesis (mammalian),healthy
"CD (Franzosa, 2019)",1,P__PWY.6385,[P] peptidoglycan biosynthesis III (mycobacteria),healthy
"CD (Franzosa, 2019)",2,P__PWY.6396,"[P] superpathway of 2,3-butanediol biosynthesis",non-significant
"CD (Franzosa, 2019)",1,P__PWY.6700,[P] queuosine biosynthesis I (_de novo_),healthy
"CD (Franzosa, 2019)",1,P__PWY.7953,[P] UDP-MurNAc-pentapeptide biosynthesis III,healthy
"CD (Franzosa, 2019)",1,T__Alistipes_shahii,[T] Alistipes_shahii,healthy
"CD (Franzosa, 2019)",1,T__Asaccharobacter_celatus,[T] Asaccharobacter_celatus,healthy
"CD (Franzosa, 2019)",2,T__Bifidobacterium_dentium,[T] Bifidobacterium_dentium,non-significant
"CD (Franzosa, 2019)",1,T__Coprococcus_catus,[T] Coprococcus_catus,healthy
"CD (Franzosa, 2019)",2,T__Enterococcus_faecalis,[T] Enterococcus_faecalis,non-significant
"CD (Franzosa, 2019)",1,T__Enterorhabdus_caecimuris,[T] Enterorhabdus_caecimuris,healthy
"CD (Franzosa, 2019)",1,T__Gemmiger_formicilis,[T] Gemmiger_formicilis,healthy
"CD (Franzosa, 2019)",2,T__Prevotella_copri,[T] Prevotella_copri,non-significant
"CD (Franzosa, 2019)",1,T__Roseburia_hominis,[T] Roseburia_hominis,healthy
"CD (Franzosa, 2019)",2,T__Streptococcus_lutetiensis,[T] Streptococcus_lutetiensis,non-significant
"CD (Franzosa, 2019)",2,T__Veillonella_dispar,[T] Veillonella_dispar,non-significant
