Dataset,Module,Feature.X,Feature.Y,Spearman rho,Spearman p-value,Spearman FDR
"CD (Franzosa, 2019)",module1,M__C18.neg_Cluster_2021..urobilin,M__HILIC.neg_Cluster_0441..sebacate,0.7748825691157719,0,0
"CD (Franzosa, 2019)",module1,M__C18.neg_Cluster_2021..urobilin,M__HILIC.pos_Cluster_2093..urobilin.,0.9495512473333284,0,0
"CD (Franzosa, 2019)",module1,M__C18.neg_Cluster_2021..urobilin,P__HISTSYN.PWY,0.7242934562314277,0,0
"CD (Franzosa, 2019)",module1,M__C18.neg_Cluster_2021..urobilin,P__NONMEVIPP.PWY,0.7007455618813622,2.220446049250313e-16,2.1488187573390127e-15
"CD (Franzosa, 2019)",module1,M__C18.neg_Cluster_2021..urobilin,P__PWY.6163,0.6653212642739074,2.398081733190338e-14,1.8932224209397407e-13
"CD (Franzosa, 2019)",module1,M__C18.neg_Cluster_2021..urobilin,P__PWY.6292,0.5505214791424126,2.042277014169258e-9,8.879465278996773e-9
"CD (Franzosa, 2019)",module1,M__C18.neg_Cluster_2021..urobilin,P__PWY.6385,0.5649618580423676,6.19058138084938e-10,2.901835022273147e-9
"CD (Franzosa, 2019)",module1,M__C18.neg_Cluster_2021..urobilin,P__PWY.6700,0.736005303729702,0,0
"CD (Franzosa, 2019)",module1,M__C18.neg_Cluster_2021..urobilin,P__PWY.7953,0.6266067830724619,1.8618440122963875e-12,1.2989609388114332e-11
"CD (Franzosa, 2019)",module1,M__C18.neg_Cluster_2021..urobilin,T__Alistipes_shahii,0.7048833359999783,0,0
"CD (Franzosa, 2019)",module1,M__C18.neg_Cluster_2021..urobilin,T__Asaccharobacter_celatus,0.7431950063441168,0,0
"CD (Franzosa, 2019)",module1,M__C18.neg_Cluster_2021..urobilin,T__Coprococcus_catus,0.6040523204160998,1.800826154862989e-11,1.0389381662671089e-10
"CD (Franzosa, 2019)",module1,M__C18.neg_Cluster_2021..urobilin,T__Enterorhabdus_caecimuris,0.7400624367626548,0,0
"CD (Franzosa, 2019)",module1,M__C18.neg_Cluster_2021..urobilin,T__Gemmiger_formicilis,0.682429382644056,2.6645352591003757e-15,2.2838873649431793e-14
"CD (Franzosa, 2019)",module1,M__C18.neg_Cluster_2021..urobilin,T__Roseburia_hominis,0.7134766494827249,0,0
"CD (Franzosa, 2019)",module1,M__HILIC.neg_Cluster_0441..sebacate,M__C18.neg_Cluster_2021..urobilin,0.7748825691157719,0,0
"CD (Franzosa, 2019)",module1,M__HILIC.neg_Cluster_0441..sebacate,M__HILIC.pos_Cluster_2093..urobilin.,0.7378333358516449,0,0
"CD (Franzosa, 2019)",module1,M__HILIC.neg_Cluster_0441..sebacate,P__HISTSYN.PWY,0.6204675700687222,3.5158542743829457e-12,2.397173368897463e-11
"CD (Franzosa, 2019)",module1,M__HILIC.neg_Cluster_0441..sebacate,P__NONMEVIPP.PWY,0.5816906983319197,1.442610475521633e-10,7.461778321663619e-10
"CD (Franzosa, 2019)",module1,M__HILIC.neg_Cluster_0441..sebacate,P__PWY.6163,0.5724496113972232,3.2581937148279394e-10,1.6023903515547244e-9
"CD (Franzosa, 2019)",module1,M__HILIC.neg_Cluster_0441..sebacate,P__PWY.6292,0.39944585807181227,3.196613061762221e-5,8.19644374810826e-5
"CD (Franzosa, 2019)",module1,M__HILIC.neg_Cluster_0441..sebacate,P__PWY.6385,0.51187867718984,3.825167360638204e-8,1.3190232278062772e-7
"CD (Franzosa, 2019)",module1,M__HILIC.neg_Cluster_0441..sebacate,P__PWY.6700,0.5679260166095171,4.810774001384743e-10,2.327793871637779e-9
"CD (Franzosa, 2019)",module1,M__HILIC.neg_Cluster_0441..sebacate,P__PWY.7953,0.6076940692869375,1.2635226198653982e-11,7.581135719192389e-11
"CD (Franzosa, 2019)",module1,M__HILIC.neg_Cluster_0441..sebacate,T__Alistipes_shahii,0.5419794704256615,4.030356937079205e-9,1.65631107003255e-8
"CD (Franzosa, 2019)",module1,M__HILIC.neg_Cluster_0441..sebacate,T__Asaccharobacter_celatus,0.602515642178576,2.088440531622382e-11,1.182136149974933e-10
"CD (Franzosa, 2019)",module1,M__HILIC.neg_Cluster_0441..sebacate,T__Coprococcus_catus,0.5455103017677259,3.0500895142893114e-9,1.3071812204097048e-8
"CD (Franzosa, 2019)",module1,M__HILIC.neg_Cluster_0441..sebacate,T__Enterorhabdus_caecimuris,0.6409397307686803,3.992361996552063e-13,2.9212404852819972e-12
"CD (Franzosa, 2019)",module1,M__HILIC.neg_Cluster_0441..sebacate,T__Gemmiger_formicilis,0.5663742691023684,5.491389565293048e-10,2.6149474120443084e-9
"CD (Franzosa, 2019)",module1,M__HILIC.neg_Cluster_0441..sebacate,T__Roseburia_hominis,0.6154341464032684,5.860645302391276e-12,3.740837427058261e-11
"CD (Franzosa, 2019)",module1,M__HILIC.pos_Cluster_2093..urobilin.,M__C18.neg_Cluster_2021..urobilin,0.9495512473333284,0,0
"CD (Franzosa, 2019)",module1,M__HILIC.pos_Cluster_2093..urobilin.,M__HILIC.neg_Cluster_0441..sebacate,0.7378333358516449,0,0
"CD (Franzosa, 2019)",module1,M__HILIC.pos_Cluster_2093..urobilin.,P__HISTSYN.PWY,0.703844546129636,0,0
"CD (Franzosa, 2019)",module1,M__HILIC.pos_Cluster_2093..urobilin.,P__NONMEVIPP.PWY,0.6935719940225002,6.661338147750939e-16,6.2450045135165055e-15
"CD (Franzosa, 2019)",module1,M__HILIC.pos_Cluster_2093..urobilin.,P__PWY.6163,0.6886867533502792,1.3322676295501878e-15,1.2111523905001708e-14
"CD (Franzosa, 2019)",module1,M__HILIC.pos_Cluster_2093..urobilin.,P__PWY.6292,0.5106909177088866,4.161989419770862e-8,1.4188600294673392e-7
"CD (Franzosa, 2019)",module1,M__HILIC.pos_Cluster_2093..urobilin.,P__PWY.6385,0.6136366308380186,7.0183858724703896e-12,4.3864911702939935e-11
"CD (Franzosa, 2019)",module1,M__HILIC.pos_Cluster_2093..urobilin.,P__PWY.6700,0.7327055377125695,0,0
"CD (Franzosa, 2019)",module1,M__HILIC.pos_Cluster_2093..urobilin.,P__PWY.7953,0.6564086203639262,6.88338275267597e-14,5.294909809750747e-13
"CD (Franzosa, 2019)",module1,M__HILIC.pos_Cluster_2093..urobilin.,T__Alistipes_shahii,0.7042343239463809,0,0
"CD (Franzosa, 2019)",module1,M__HILIC.pos_Cluster_2093..urobilin.,T__Asaccharobacter_celatus,0.7154703167735973,0,0
"CD (Franzosa, 2019)",module1,M__HILIC.pos_Cluster_2093..urobilin.,T__Coprococcus_catus,0.5823624844437771,1.3582956981395e-10,7.148924727050001e-10
"CD (Franzosa, 2019)",module1,M__HILIC.pos_Cluster_2093..urobilin.,T__Enterorhabdus_caecimuris,0.7282356920174738,0,0
"CD (Franzosa, 2019)",module1,M__HILIC.pos_Cluster_2093..urobilin.,T__Gemmiger_formicilis,0.6423473062469042,3.4150460237469815e-13,2.561284517810236e-12
"CD (Franzosa, 2019)",module1,M__HILIC.pos_Cluster_2093..urobilin.,T__Roseburia_hominis,0.7186011341212394,0,0
"CD (Franzosa, 2019)",module1,P__HISTSYN.PWY,M__C18.neg_Cluster_2021..urobilin,0.7242934562314277,0,0
"CD (Franzosa, 2019)",module1,P__HISTSYN.PWY,M__HILIC.neg_Cluster_0441..sebacate,0.6204675700687222,3.5158542743829457e-12,2.397173368897463e-11
