N features in intersection,N features in left component only,N features in right component only,"N features in left component only, completely missing from right dataset","N features in right component only, completely missing from left dataset",Odds ratio,FDR of Fisher's exact test,Module - left,Module - right
3,9,11,1,10,10.45527188549834,0.264551446513039,"1 / CRC (Vogtmann, 2016)","3 / Cirrhosis (Qin, 2014)"
2,7,11,3,3,9.050996706351405,0.5721308563997983,"2 / CRC (Vogtmann, 2016)","1 / Cirrhosis (Qin, 2014)"
2,6,3,4,4,39.14669876184022,0.1817030937224145,"2 / CRC (Vogtmann, 2016)","2 / CRC (Feng, 2015)"
4,9,7,2,2,21.87271001212916,0.02070561356782178,"1 / CRC (Yu, 2015)","2 / CRC (Wirbel, 2018)"
2,4,18,2,0,9.982814200076485,0.5693387730058952,"2 / CRC (Yu, 2015)","1 / CRC (Feng, 2015)"
2,11,18,4,0,3.7965936143598764,1,"1 / CRC (Zeller, 2014)","1 / CRC (Feng, 2015)"
2,12,11,3,2,5.7190906486999005,0.8355289243048946,"1 / CRC (Zeller, 2014)","1 / CRC (Yu, 2015)"
2,9,5,3,8,15.855273414114407,0.3712121212121224,"3 / CRC (Zeller, 2014)","2 / Cirrhosis (Qin, 2014)"
6,6,5,0,2,59.53713688489838,3.961080589330378e-5,"1 / HT (Li, 2017)","2 / CRC (Wirbel, 2018)"
3,9,7,0,5,15.59774499850775,0.17622262940757058,"1 / HT (Li, 2017)","1 / CRC (Yu, 2015)"
2,3,9,1,13,23.683670686473896,0.292037272002546,"1 / IGT (Karlsson, 2013)","3 / Cirrhosis (Qin, 2014)"
6,2,14,1,0,72.39250614367919,3.961080589330378e-5,"2 / IGT (Karlsson, 2013)","1 / CRC (Feng, 2015)"
2,5,11,0,2,12.392344460153362,0.44914918876137655,"1 / ME-CFS (Nagy-Szakal, 2017)","1 / CRC (Yu, 2015)"
7,12,5,5,3,37.541040765895026,3.961080589330378e-5,"1 / Pre-HT (Li, 2017)","2 / Cirrhosis (Qin, 2014)"
3,13,17,8,0,4.123762995050236,0.7612581368990529,"1 / Pre-HT (Li, 2017)","1 / CRC (Feng, 2015)"
2,14,6,8,6,7.654951077717993,0.6679413208800715,"1 / Pre-HT (Li, 2017)","3 / CRC (Zeller, 2014)"
