Dataset,Original feature name,Cluster ID,Cluster representative (randomly selected)
"CD (Franzosa, 2019)",P__PWY.5686,281,P__PWY.5686_Cluster281
"CD (Franzosa, 2019)",P__PWY.7790,281,P__PWY.5686_Cluster281
"CD (Franzosa, 2019)",P__PWY.7791,281,P__PWY.5686_Cluster281
"Cirrhosis (Qin, 2014)",P__CATECHOL.ORTHO.CLEAVAGE.PWY,178,P__CATECHOL.ORTHO.CLEAVAGE.PWY_Cluster178
"Cirrhosis (Qin, 2014)",P__PWY.5417,178,P__CATECHOL.ORTHO.CLEAVAGE.PWY_Cluster178
"Cirrhosis (Qin, 2014)",P__PWY.5431,178,P__CATECHOL.ORTHO.CLEAVAGE.PWY_Cluster178
"Cirrhosis (Qin, 2014)",P__FOLSYN.PWY,193,P__FOLSYN.PWY_Cluster193
"Cirrhosis (Qin, 2014)",P__PWY.6612,193,P__FOLSYN.PWY_Cluster193
"Cirrhosis (Qin, 2014)",P__MET.SAM.PWY,226,P__MET.SAM.PWY_Cluster226
"Cirrhosis (Qin, 2014)",P__METSYN.PWY,226,P__MET.SAM.PWY_Cluster226
"Cirrhosis (Qin, 2014)",P__PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY,256,P__PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY_Cluster256
"Cirrhosis (Qin, 2014)",P__PWY.5181,256,P__PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY_Cluster256
"Cirrhosis (Qin, 2014)",P__PWY.5838,296,P__PWY.5838_Cluster296
"Cirrhosis (Qin, 2014)",P__PWY.5861,296,P__PWY.5838_Cluster296
"Cirrhosis (Qin, 2014)",P__PWY.5897,302,P__PWY.5897_Cluster302
"Cirrhosis (Qin, 2014)",P__PWY.5898,302,P__PWY.5897_Cluster302
"Cirrhosis (Qin, 2014)",P__PWY.5899,302,P__PWY.5897_Cluster302
"Cirrhosis (Qin, 2014)",P__PWY.5910,303,P__PWY.5910_Cluster303
"Cirrhosis (Qin, 2014)",P__PWY.922,303,P__PWY.5910_Cluster303
"Cirrhosis (Qin, 2014)",P__PWY.6182,320,P__PWY.6182_Cluster320
"Cirrhosis (Qin, 2014)",P__PWY.6185,320,P__PWY.6182_Cluster320
"CRC (Feng, 2015)",P__PWY.5101,287,P__PWY.5101_Cluster287
"CRC (Feng, 2015)",P__PWY.5198,287,P__PWY.5101_Cluster287
"CRC (Yachida, 2019)",T__Oscillibacter.ruminantium,348,T__Oscillibacter.ruminantium_Cluster348
"CRC (Yachida, 2019)",T__Oscillibacter.valericigenes,348,T__Oscillibacter.ruminantium_Cluster348
"ESRD (Wang, 2020)",P__PWY.5686,281,P__PWY.5686_Cluster281
"ESRD (Wang, 2020)",P__PWY.7790,281,P__PWY.5686_Cluster281
"ESRD (Wang, 2020)",P__PWY.7791,281,P__PWY.5686_Cluster281
"ESRD (Wang, 2020)",P__PWY.7220,354,P__PWY.7220_Cluster354
"ESRD (Wang, 2020)",P__PWY.7222,354,P__PWY.7220_Cluster354
"STH (Rubel, 2020)",P__ARGSYN.PWY,112,P__ARGSYN.PWY_Cluster112
"STH (Rubel, 2020)",P__PWY.7400,112,P__ARGSYN.PWY_Cluster112
"STH (Rubel, 2020)",P__GALACTARDEG.PWY,138,P__GALACTARDEG.PWY_Cluster138
"STH (Rubel, 2020)",P__GLUCARGALACTSUPER.PWY,138,P__GALACTARDEG.PWY_Cluster138
"UC (Nielsen, 2014)",P__GALACTARDEG.PWY,200,P__GALACTARDEG.PWY_Cluster200
"UC (Nielsen, 2014)",P__GLUCARGALACTSUPER.PWY,200,P__GALACTARDEG.PWY_Cluster200
