Dataset,Feature set,Original feature name,Cluster ID,Cluster representative (randomly selected),Metagenomics transformation
cd_franzosa_2019,T,T__Streptococcus_parasanguinis,60,T__Streptococcus_parasanguinis_Cluster60,Relative abundances
cd_franzosa_2019,T,T__Haemophilus_parainfluenzae,60,T__Streptococcus_parasanguinis_Cluster60,Relative abundances
cd_franzosa_2019,T,T__Eubacterium_dolichum_CAG_375,73,T__Eubacterium_dolichum_CAG_375_Cluster73,Relative abundances
cd_franzosa_2019,T,T__Absiella_dolichum,73,T__Eubacterium_dolichum_CAG_375_Cluster73,Relative abundances
cd_franzosa_2019,G,G__K00210,63,G__K00210_Cluster63,Relative abundances
cd_franzosa_2019,G,G__K00721,63,G__K00210_Cluster63,Relative abundances
cd_franzosa_2019,G,G__K02755,838,G__K02755_Cluster838,Relative abundances
cd_franzosa_2019,G,G__K02756,838,G__K02755_Cluster838,Relative abundances
cd_franzosa_2019,G,G__K02757,838,G__K02755_Cluster838,Relative abundances
cd_franzosa_2019,G,G__K02803,859,G__K02803_Cluster859,Relative abundances
cd_franzosa_2019,G,G__K02804,859,G__K02803_Cluster859,Relative abundances
cd_franzosa_2019,G,G__K02809,862,G__K02809_Cluster862,Relative abundances
cd_franzosa_2019,G,G__K02810,862,G__K02809_Cluster862,Relative abundances
cd_franzosa_2019,G,G__K03090,949,G__K03090_Cluster949,Relative abundances
cd_franzosa_2019,G,G__K14086,949,G__K03090_Cluster949,Relative abundances
cd_franzosa_2019,G,G__K03764,1200,G__K03764_Cluster1200,Relative abundances
cd_franzosa_2019,G,G__K15724,1200,G__K03764_Cluster1200,Relative abundances
cd_franzosa_2019,G,G__K06978,1510,G__K06978_Cluster1510,Relative abundances
cd_franzosa_2019,G,G__K13051,1510,G__K06978_Cluster1510,Relative abundances
cd_franzosa_2019,G,G__K13787,1932,G__K13787_Cluster1932,Relative abundances
cd_franzosa_2019,G,G__K22306,1932,G__K13787_Cluster1932,Relative abundances
cd_franzosa_2019,G,G__K20116,2078,G__K20116_Cluster2078,Relative abundances
cd_franzosa_2019,G,G__K20117,2078,G__K20116_Cluster2078,Relative abundances
cd_franzosa_2019,G,G__K20118,2078,G__K20116_Cluster2078,Relative abundances
cd_franzosa_2019,P,P__ARGDEG.PWY,6,P__ARGDEG.PWY_Cluster6,Relative abundances
cd_franzosa_2019,P,P__ORNARGDEG.PWY,6,P__ARGDEG.PWY_Cluster6,Relative abundances
cd_franzosa_2019,P,P__ARGSYN.PWY,7,P__ARGSYN.PWY_Cluster7,Relative abundances
cd_franzosa_2019,P,P__ARGSYNBSUB.PWY,7,P__ARGSYN.PWY_Cluster7,Relative abundances
cd_franzosa_2019,P,P__BIOTIN.BIOSYNTHESIS.PWY,11,P__BIOTIN.BIOSYNTHESIS.PWY_Cluster11,Relative abundances
