ENTRY	DEFINITION	EC
K00001	alcohol dehydrogenase	1.1.1.1
K00002	alcohol dehydrogenase (NADP+)	1.1.1.2
K00003	homoserine dehydrogenase	1.1.1.3
K00004	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase	1.1.1.4 1.1.1.- 1.1.1.303
K00005	glycerol dehydrogenase	1.1.1.6
K00006	glycerol-3-phosphate dehydrogenase (NAD+)	1.1.1.8
K00007	D-arabinitol 4-dehydrogenase	1.1.1.11
K00008	L-iditol 2-dehydrogenase	1.1.1.14
K00009	mannitol-1-phosphate 5-dehydrogenase	1.1.1.17
K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase	1.1.1.18 1.1.1.369
K00011	aldehyde reductase	1.1.1.21
K00012	UDPglucose 6-dehydrogenase	1.1.1.22
K00013	histidinol dehydrogenase	1.1.1.23
K00014	shikimate dehydrogenase	1.1.1.25
K00015	glyoxylate reductase	1.1.1.26
K00016	L-lactate dehydrogenase	1.1.1.27
K00018	glycerate dehydrogenase	1.1.1.29
K00019	3-hydroxybutyrate dehydrogenase	1.1.1.30
K00020	3-hydroxyisobutyrate dehydrogenase	1.1.1.31
K00021	hydroxymethylglutaryl-CoA reductase (NADPH)	1.1.1.34
K00022	3-hydroxyacyl-CoA dehydrogenase	1.1.1.35
K00023	acetoacetyl-CoA reductase	1.1.1.36
K00024	malate dehydrogenase	1.1.1.37
K00025	malate dehydrogenase	1.1.1.37
K00026	malate dehydrogenase	1.1.1.37
K00027	malate dehydrogenase (oxaloacetate-decarboxylating)	1.1.1.38
K00028	malate dehydrogenase (decarboxylating)	1.1.1.39
K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)	1.1.1.40
K00030	isocitrate dehydrogenase (NAD+)	1.1.1.41
K00031	isocitrate dehydrogenase	1.1.1.42
K00032	phosphogluconate 2-dehydrogenase	1.1.1.43
K00033	6-phosphogluconate dehydrogenase	1.1.1.44 1.1.1.343
K00034	glucose 1-dehydrogenase	1.1.1.47
K00035	D-galactose 1-dehydrogenase	1.1.1.48
K00036	glucose-6-phosphate 1-dehydrogenase	1.1.1.49 1.1.1.363
K00037	3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase	1.1.1.50 1.1.1.357 1.1.1.225
K00038	3alpha(or 20beta)-hydroxysteroid dehydrogenase	1.1.1.53
K00039	ribitol 2-dehydrogenase	1.1.1.56
K00040	fructuronate reductase	1.1.1.57
K00041	tagaturonate reductase	1.1.1.58
K00042	2-hydroxy-3-oxopropionate reductase	1.1.1.60
K00043	4-hydroxybutyrate dehydrogenase	1.1.1.61
K00044	17beta-estradiol 17-dehydrogenase	1.1.1.62
K00045	mannitol 2-dehydrogenase	1.1.1.67
K00046	gluconate 5-dehydrogenase	1.1.1.69
K00048	lactaldehyde reductase	1.1.1.77
K00049	glyoxylate/hydroxypyruvate reductase	1.1.1.79 1.1.1.81
K00051	malate dehydrogenase (NADP+)	1.1.1.82
K00052	3-isopropylmalate dehydrogenase	1.1.1.85
K00053	ketol-acid reductoisomerase	1.1.1.86
K00054	hydroxymethylglutaryl-CoA reductase	1.1.1.88
K00055	aryl-alcohol dehydrogenase	1.1.1.90
K00057	glycerol-3-phosphate dehydrogenase (NAD(P)+)	1.1.1.94
K00058	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	1.1.1.95 1.1.1.399
K00059	3-oxoacyl-[acyl-carrier protein] reductase	1.1.1.100
K00060	threonine 3-dehydrogenase	1.1.1.103
K00061	11-cis-retinol dehydrogenase	1.1.1.315
K00062	D-arabinose 1-dehydrogenase	1.1.1.116
K00063	D-arabinose 1-dehydrogenase	1.1.1.117
K00064	D-threo-aldose 1-dehydrogenase	1.1.1.122
K00065	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	1.1.1.127
K00066	GDP-mannose 6-dehydrogenase	1.1.1.132
K00067	dTDP-4-dehydrorhamnose reductase	1.1.1.133
K00068	sorbitol-6-phosphate 2-dehydrogenase	1.1.1.140
K00069	15-hydroxyprostaglandin dehydrogenase (NAD)	1.1.1.141
K00070	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase	1.1.1.145 5.3.3.1
K00071	corticosteroid 11-beta-dehydrogenase isozyme 2	1.1.1.-
K00072	sepiapterin reductase	1.1.1.153
K00073	ureidoglycolate dehydrogenase (NAD+)	1.1.1.350
K00074	3-hydroxybutyryl-CoA dehydrogenase	1.1.1.157
K00075	UDP-N-acetylmuramate dehydrogenase	1.3.1.98
K00076	7-alpha-hydroxysteroid dehydrogenase	1.1.1.159
K00077	2-dehydropantoate 2-reductase	1.1.1.169
K00078	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)	1.3.1.20 1.1.1.179
K00079	carbonyl reductase 1	1.1.1.184 1.1.1.189 1.1.1.197
K00081	carbonyl reductase 2	1.1.1.184
K00082	5-amino-6-(5-phosphoribosylamino)uracil reductase	1.1.1.193
K00083	cinnamyl-alcohol dehydrogenase	1.1.1.195
K00084	carbonyl reductase 3	1.1.1.184
K00085	aldose-6-phosphate reductase (NADPH2)	1.1.1.200
K00086	1,3-propanediol dehydrogenase	1.1.1.202
K00087	xanthine dehydrogenase molybdenum-binding subunit	1.17.1.4
K00088	IMP dehydrogenase	1.1.1.205
K00089	3alpha-hydroxysteroid 3-dehydrogenase	1.1.1.213 1.1.1.357
K00090	glyoxylate/hydroxypyruvate/2-ketogluconate reductase	1.1.1.79 1.1.1.81 1.1.1.215
K00091	dihydroflavonol-4-reductase	1.1.1.219
K00093	methanol dehydrogenase	1.1.1.244
K00094	galactitol-1-phosphate 5-dehydrogenase	1.1.1.251
K00095	mannitol dehydrogenase	1.1.1.255
K00096	glycerol-1-phosphate dehydrogenase [NAD(P)+]	1.1.1.261
K00097	4-hydroxythreonine-4-phosphate dehydrogenase	1.1.1.262
K00098	L-idonate 5-dehydrogenase	1.1.1.264
K00099	1-deoxy-D-xylulose-5-phosphate reductoisomerase	1.1.1.267
K00100	butanol dehydrogenase	1.1.1.-
K00101	L-lactate dehydrogenase (cytochrome)	1.1.2.3
K00102	D-lactate dehydrogenase (cytochrome)	1.1.2.4
K00103	L-gulonolactone oxidase	1.1.3.8
K00104	glycolate oxidase	1.1.3.15
K00105	alpha-glycerophosphate oxidase	1.1.3.21
K00106	xanthine dehydrogenase/oxidase	1.17.1.4 1.17.3.2
K00107	D-arabinono-1,4-lactone oxidase	1.1.3.37
K00108	choline dehydrogenase	1.1.99.1
K00109	2-hydroxyglutarate dehydrogenase	1.1.99.2
K00111	glycerol-3-phosphate dehydrogenase	1.1.5.3
K00112	glycerol-3-phosphate dehydrogenase subunit B	1.1.5.3
K00113	glycerol-3-phosphate dehydrogenase subunit C
K00114	alcohol dehydrogenase (cytochrome c)	1.1.2.8
K00115	glucose 1-dehydrogenase (FAD, quinone)	1.1.5.9
K00116	malate dehydrogenase (quinone)	1.1.5.4
K00117	quinoprotein glucose dehydrogenase	1.1.5.2
K00118	glucose-fructose oxidoreductase	1.1.99.28
K00119	alcohol dehydrogenase (nicotinoprotein)	1.1.99.36
K00120	F420-dependent hydroxymycolic acid dehydrogenase	1.1.98.-
K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1
K00122	formate dehydrogenase	1.17.1.9
K00123	formate dehydrogenase major subunit	1.17.1.9
K00124	formate dehydrogenase iron-sulfur subunit
K00125	formate dehydrogenase (coenzyme F420) beta subunit	1.17.98.3 1.8.98.6
K00126	formate dehydrogenase subunit delta	1.17.1.9
K00127	formate dehydrogenase subunit gamma
K00128	aldehyde dehydrogenase (NAD+)	1.2.1.3
K00129	aldehyde dehydrogenase (NAD(P)+)	1.2.1.5
K00130	betaine-aldehyde dehydrogenase	1.2.1.8
K00131	glyceraldehyde-3-phosphate dehydrogenase (NADP+)	1.2.1.9
K00132	acetaldehyde dehydrogenase (acetylating)	1.2.1.10
K00133	aspartate-semialdehyde dehydrogenase	1.2.1.11
K00134	glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12
K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	1.2.1.16 1.2.1.79 1.2.1.20
K00137	aminobutyraldehyde dehydrogenase	1.2.1.19
K00138	aldehyde dehydrogenase	1.2.1.-
K00139	succinate-semialdehyde dehydrogenase	1.2.1.24
K00140	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase	1.2.1.18 1.2.1.27
K00141	benzaldehyde dehydrogenase (NAD)	1.2.1.28
K00142	acyl-CoA synthetase	6.2.1.-
K00143	L-2-aminoadipate reductase	1.2.1.95
K00145	N-acetyl-gamma-glutamyl-phosphate reductase	1.2.1.38
K00146	phenylacetaldehyde dehydrogenase	1.2.1.39
K00147	glutamate-5-semialdehyde dehydrogenase	1.2.1.41
K00148	glutathione-independent formaldehyde dehydrogenase	1.2.1.46
K00149	aldehyde dehydrogenase family 9 member A1	1.2.1.47 1.2.1.3
K00150	glyceraldehyde-3-phosphate dehydrogenase (NAD(P))	1.2.1.59
K00151	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase	1.2.1.60
K00152	salicylaldehyde dehydrogenase	1.2.1.65
K00153	S-(hydroxymethyl)mycothiol dehydrogenase	1.1.1.306
K00154	coniferyl-aldehyde dehydrogenase	1.2.1.68
K00155	L-tyrosine reductase	1.2.1.101
K00156	pyruvate dehydrogenase (quinone)	1.2.5.1
K00157	aldehyde oxidase	1.2.3.1
K00158	pyruvate oxidase	1.2.3.3
K00161	pyruvate dehydrogenase E1 component alpha subunit	1.2.4.1
K00162	pyruvate dehydrogenase E1 component beta subunit	1.2.4.1
K00163	pyruvate dehydrogenase E1 component	1.2.4.1
K00164	2-oxoglutarate dehydrogenase E1 component	1.2.4.2
K00166	2-oxoisovalerate dehydrogenase E1 component alpha subunit	1.2.4.4
K00167	2-oxoisovalerate dehydrogenase E1 component beta subunit	1.2.4.4
K00169	pyruvate ferredoxin oxidoreductase alpha subunit	1.2.7.1
K00170	pyruvate ferredoxin oxidoreductase beta subunit	1.2.7.1
K00171	pyruvate ferredoxin oxidoreductase delta subunit	1.2.7.1
K00172	pyruvate ferredoxin oxidoreductase gamma subunit	1.2.7.1
K00174	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha	1.2.7.3 1.2.7.11
K00175	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta	1.2.7.3 1.2.7.11
K00176	2-oxoglutarate ferredoxin oxidoreductase subunit delta	1.2.7.3
K00177	2-oxoglutarate ferredoxin oxidoreductase subunit gamma	1.2.7.3
K00179	indolepyruvate ferredoxin oxidoreductase, alpha subunit	1.2.7.8
K00180	indolepyruvate ferredoxin oxidoreductase, beta subunit	1.2.7.8
K00181	O-palmitoleoyl transferase	2.3.1.250
K00182	wingless-type MMTV integration site family, member 2
K00184	dimethyl sulfoxide reductase iron-sulfur subunit
K00185	dimethyl sulfoxide reductase membrane subunit
K00186	2-oxoisovalerate ferredoxin oxidoreductase alpha subunit	1.2.7.7
K00187	2-oxoisovalerate ferredoxin oxidoreductase beta subunit	1.2.7.7
K00188	2-oxoisovalerate ferredoxin oxidoreductase delta subunit	1.2.7.7
K00189	2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit	1.2.7.7 1.2.7.1
K00192	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha	1.2.7.4
K00193	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta	2.3.1.169
K00194	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta	2.1.1.245
K00195	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon
K00196	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
K00197	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma	2.1.1.245
K00198	anaerobic carbon-monoxide dehydrogenase catalytic subunit	1.2.7.4
K00200	formylmethanofuran dehydrogenase subunit A	1.2.7.12
K00201	formylmethanofuran dehydrogenase subunit B	1.2.7.12
K00202	formylmethanofuran dehydrogenase subunit C	1.2.7.12
K00203	formylmethanofuran dehydrogenase subunit D	1.2.7.12
K00204	4Fe-4S ferredoxin
K00205	4Fe-4S ferredoxin
K00206	phosphonoacetaldehyde dehydrogenase	1.2.1.-
K00207	dihydropyrimidine dehydrogenase (NADP+)	1.3.1.2
K00208	enoyl-[acyl-carrier protein] reductase I	1.3.1.9 1.3.1.10
K00209	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+)	1.3.1.9 1.3.1.44
K00211	prephenate dehydrogenase (NADP+)	1.3.1.13
K00212	20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase	1.1.1.149 1.1.1.357 1.3.1.20
K00213	7-dehydrocholesterol reductase	1.3.1.21
K00214	biliverdin reductase	1.3.1.24
K00215	4-hydroxy-tetrahydrodipicolinate reductase	1.17.1.8
K00216	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	1.3.1.28
K00217	maleylacetate reductase	1.3.1.32
K00218	protochlorophyllide reductase	1.3.1.33
K00219	2,4-dienoyl-CoA reductase (NADPH2)	1.3.1.34
K00220	cyclohexadieny/prephenate dehydrogenase	1.3.1.43 1.3.1.12
K00221	alkylmercury lyase	4.99.1.2
K00222	Delta14-sterol reductase	1.3.1.70
K00223	Delta24(24(1))-sterol reductase	1.3.1.71
K00224	chloroplastic oxoene reductase	1.3.1.-
K00225	L-galactono-1,4-lactone dehydrogenase	1.3.2.3
K00226	dihydroorotate dehydrogenase (fumarate)	1.3.98.1
